variable,minute_of_day,n,point,ci_lo,ci_hi
r_1m_mean,191,1413,-1.2139259569450627e-05,-3.625689510816715e-05,1.0414300904717203e-05
r_1m_mean,192,1410,-9.934382620078803e-07,-2.2017468917404885e-05,1.979284565631656e-05
r_1m_mean,193,1410,-5.197369650959005e-08,-2.3652162992997222e-05,1.7577448370314412e-05
r_1m_mean,194,1412,6.128246408105915e-07,-1.8146941339507776e-05,1.8895820776258334e-05
r_1m_mean,195,1410,6.8557816557345975e-06,-1.0511935567786467e-05,2.4385256659542287e-05
r_1m_mean,196,1410,7.40213760598516e-06,-1.648254804253744e-05,3.402318646276318e-05
r_1m_mean,197,1412,9.924078315818327e-06,-7.882004160360485e-06,3.0297079759573825e-05
r_1m_mean,198,1410,1.0775946389115718e-05,-5.44723283957682e-06,2.8635805658193614e-05
r_1m_mean,199,1410,6.6875157272662994e-06,-1.3984371482135567e-05,2.5941859011894658e-05
r_1m_mean,200,1412,-7.018342768302993e-06,-2.7681555926407784e-05,1.0243946499259159e-05
r_1m_mean,201,1410,-1.3334658023187799e-06,-1.9634932180643584e-05,2.0010440261827035e-05
r_1m_mean,202,1409,4.392809069796497e-06,-1.7025747600921094e-05,2.1892379494032193e-05
r_1m_mean,203,1411,-2.4844540406093197e-06,-1.8382189925612067e-05,1.7268212183179777e-05
r_1m_mean,204,1413,8.100855696622609e-06,-1.0395533022380138e-05,2.5986443388919928e-05
r_1m_mean,205,1414,-1.0763478948820992e-05,-2.9016354298512378e-05,9.184051371978796e-06
r_1m_mean,206,1412,-2.7132614446185447e-05,-4.377103729874707e-05,-9.465517430617474e-06
r_1m_mean,207,1411,-3.1459766040128843e-07,-1.7911803338735077e-05,1.8462137718052247e-05
r_1m_mean,208,1410,8.866647044743954e-06,-7.558778708237008e-06,2.8312792400610266e-05
r_1m_mean,209,1412,1.7489456060264387e-05,1.1593549954686085e-06,3.567996282361405e-05
r_1m_mean,210,1411,-1.2896070823592245e-05,-2.738636629053528e-05,3.412607692450508e-06
r_1m_mean,211,1411,-2.444541532727413e-05,-4.6134468168246916e-05,-2.1832187031113487e-06
r_1m_mean,212,1414,-1.4655659875318192e-05,-3.384246172756354e-05,7.520355257433648e-06
r_1m_mean,213,1412,4.557706420871152e-06,-1.640227637643311e-05,2.4393946276591724e-05
r_1m_mean,214,1412,5.377375628667405e-06,-1.5022633945676849e-05,2.1015437360535674e-05
r_1m_mean,215,1411,-2.732553003989387e-06,-2.25049935704693e-05,1.6371960910965374e-05
r_1m_mean,216,1411,4.794928578060675e-06,-1.4498591161375818e-05,2.406680225357832e-05
r_1m_mean,217,1413,7.541462773586974e-06,-9.860489052378645e-06,2.2779870956686783e-05
r_1m_mean,218,1412,1.6585808229667283e-05,1.460743151434544e-07,3.344426173050388e-05
r_1m_mean,219,1411,-1.6073816892192289e-06,-1.9387455996362525e-05,1.4369395077414674e-05
r_1m_mean,220,1409,1.8286413868274143e-06,-1.3604427341559833e-05,2.0268744163144446e-05
r_1m_mean,221,1411,-1.167986376645412e-05,-2.547647150335105e-05,3.170985251390823e-06
r_1m_mean,222,1411,1.4633325275874058e-05,-2.157083893026401e-06,2.9221361033935028e-05
r_1m_mean,223,1412,1.814645555041505e-06,-1.3463801355150714e-05,1.7039690548862318e-05
r_1m_mean,224,1413,-6.094455319408694e-06,-2.4085138142229796e-05,8.253928897228112e-06
r_1m_mean,225,1413,-1.0984931370798138e-05,-2.7524252789636974e-05,3.034418338285287e-06
r_1m_mean,226,1412,1.2518019136450047e-05,-6.356025338102849e-06,2.8705831707814382e-05
r_1m_mean,227,1412,-3.1430811652099475e-06,-2.146828309122996e-05,1.3531335534132764e-05
r_1m_mean,228,1412,8.131981756897645e-06,-6.355124595040861e-06,2.5002032810708295e-05
r_1m_mean,229,1411,1.0224216392032154e-05,-4.482849256736396e-06,2.720344270266251e-05
r_1m_mean,230,1412,-9.233484481774754e-06,-2.4863068035202488e-05,4.256631676012762e-06
