source_file,before_ts_utc,after_ts_utc,gap_minutes,before_ny,before_ny_time,after_ny,after_ny_time,before_date,after_date,cause,confidence,cause_detail,expected_ts_inicio,expected_ts_fin
00_mnq_03_20.Last.txt,2019-12-24 06:06:00+00:00,2019-12-24 06:08:00+00:00,2.0,2019-12-24 01:06:00-05:00,01:06:00,2019-12-24 01:08:00-05:00,01:08:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 06:07:00+00:00,2019-12-24 06:07:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 06:33:00+00:00,2019-12-24 06:35:00+00:00,2.0,2019-12-24 01:33:00-05:00,01:33:00,2019-12-24 01:35:00-05:00,01:35:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 06:34:00+00:00,2019-12-24 06:34:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 07:08:00+00:00,2019-12-24 07:10:00+00:00,2.0,2019-12-24 02:08:00-05:00,02:08:00,2019-12-24 02:10:00-05:00,02:10:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 07:09:00+00:00,2019-12-24 07:09:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 07:48:00+00:00,2019-12-24 07:50:00+00:00,2.0,2019-12-24 02:48:00-05:00,02:48:00,2019-12-24 02:50:00-05:00,02:50:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 07:49:00+00:00,2019-12-24 07:49:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 07:52:00+00:00,2019-12-24 07:54:00+00:00,2.0,2019-12-24 02:52:00-05:00,02:52:00,2019-12-24 02:54:00-05:00,02:54:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 07:53:00+00:00,2019-12-24 07:53:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 07:54:00+00:00,2019-12-24 07:56:00+00:00,2.0,2019-12-24 02:54:00-05:00,02:54:00,2019-12-24 02:56:00-05:00,02:56:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 07:55:00+00:00,2019-12-24 07:55:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 08:04:00+00:00,2019-12-24 08:06:00+00:00,2.0,2019-12-24 03:04:00-05:00,03:04:00,2019-12-24 03:06:00-05:00,03:06:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 08:05:00+00:00,2019-12-24 08:05:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 08:17:00+00:00,2019-12-24 08:19:00+00:00,2.0,2019-12-24 03:17:00-05:00,03:17:00,2019-12-24 03:19:00-05:00,03:19:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 08:18:00+00:00,2019-12-24 08:18:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 08:39:00+00:00,2019-12-24 08:42:00+00:00,3.0,2019-12-24 03:39:00-05:00,03:39:00,2019-12-24 03:42:00-05:00,03:42:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 08:40:00+00:00,2019-12-24 08:41:00+00:00
00_mnq_03_20.Last.txt,2019-12-24 08:53:00+00:00,2019-12-24 08:55:00+00:00,2.0,2019-12-24 03:53:00-05:00,03:53:00,2019-12-24 03:55:00-05:00,03:55:00,2019-12-24,2019-12-24,UNKNOWN,BAJA,hueco intradia (mismo trading_date en ambos bordes) que no coincide con ningun break declarado por el calendario,2019-12-24 08:54:00+00:00,2019-12-24 08:54:00+00:00
