variable,raw_adjusted,group,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
log_hl,raw,2024,60,334775,0.5066133895370972,0.5185375062262383,False,,,
log_hl,raw,2025,60,155499,0.5516444472973383,0.5462824292166296,False,,,
log_hl,adjusted,2019,1,7406,0.4216015046728936,0.42238955438232434,False,50.0,0.27629338025865985,0.46140307586317847
log_hl,adjusted,2020,1,342648,0.7409703226848394,0.7390737617693885,False,50.0,0.7091561630209056,0.7587867000130664
log_hl,adjusted,2021,1,349039,0.6469013067482414,0.6461523519309712,False,50.0,0.6227250341314788,0.6687705454725517
log_hl,adjusted,2022,1,349996,0.5654537475111225,0.5646622936685759,False,50.0,0.5404628862163088,0.5851600818362134
log_hl,adjusted,2023,1,349636,0.5915525593413705,0.5915864864628062,False,50.0,0.5465080638136907,0.6367347720984959
log_hl,adjusted,2024,1,352261,0.6621549962561732,0.6622612511615694,False,50.0,0.5925896390384787,0.696045113610021
log_hl,adjusted,2025,1,163544,0.7354354358818115,0.7338462074919883,False,50.0,0.6700965140887006,0.7799220407983298
log_hl,adjusted,2019,5,6911,0.31187280251790656,0.31196088033766484,False,,,
log_hl,adjusted,2020,5,339217,0.6836497845125127,0.6773291512416397,False,,,
log_hl,adjusted,2021,5,346457,0.5628164420004177,0.5602004750688021,False,,,
log_hl,adjusted,2022,5,348515,0.45671523714966816,0.4572529990131306,False,,,
log_hl,adjusted,2023,5,348188,0.4756141399859104,0.4753327677320368,False,,,
log_hl,adjusted,2024,5,350908,0.5620121598072179,0.5619161643718245,False,,,
log_hl,adjusted,2025,5,162961,0.6485137034202269,0.6517788796192064,False,,,
log_hl,adjusted,2019,20,5798,0.23012735935009196,0.2363618917753085,False,,,
log_hl,adjusted,2020,20,329619,0.6475889023428804,0.6351895923411329,False,,,
log_hl,adjusted,2021,20,339229,0.5153917291750281,0.512223388789023,False,,,
log_hl,adjusted,2022,20,343593,0.39061424507365516,0.39125217508797533,False,,,
log_hl,adjusted,2023,20,343330,0.3999987372772244,0.39675458883399495,False,,,
log_hl,adjusted,2024,20,346206,0.48640878684944666,0.4869562020322255,False,,,
log_hl,adjusted,2025,20,160845,0.5818689243538043,0.578769031489708,False,,,
