series,config,theoretical_q,empirical_q
r_1m_raw,NA,1.2212272221055693,0.7492839527150043
r_1m_raw,NA,1.2318637087349833,0.7605700755442701
r_1m_raw,NA,1.242641418577882,0.7721042716264643
r_1m_raw,NA,1.2535654384704509,0.783764360599039
r_1m_raw,NA,1.2646411356610803,0.795574496827195
r_1m_raw,NA,1.2758741791491297,0.8074276001261522
r_1m_raw,NA,1.2872705631079415,0.8198338901117675
r_1m_raw,NA,1.2988366326425054,0.8329734915497048
r_1m_raw,NA,1.310579112168129,0.8464094504945442
r_1m_raw,NA,1.3225051367384355,0.8603981596577768
r_1m_raw,NA,1.3346222867001933,0.8747386903361326
r_1m_raw,NA,1.3469386261102796,0.8889543084467614
r_1m_raw,NA,1.3594627454182584,0.9029789141122662
r_1m_raw,NA,1.3722038089987263,0.918786900264949
r_1m_raw,NA,1.3851716082134358,0.9342337887918073
r_1m_raw,NA,1.398376620797496,0.9498932338749583
r_1m_raw,NA,1.4118300775008088,0.9663143908110602
r_1m_raw,NA,1.4255440370804517,0.9839500531491572
r_1m_raw,NA,1.439531470938456,1.0024832098813528
