variable,raw_adjusted,year_month,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
log_hl,raw,2024-11,20,28059,0.5273024032139613,0.5250644363112412,False,,,
log_hl,raw,2024-12,20,28320,0.6470216559626506,0.642604174823684,False,,,
log_hl,raw,2025-01,20,29172,0.526741598146453,0.5260211686270799,False,,,
log_hl,raw,2025-02,20,26960,0.5231762913692749,0.5015025691482997,False,,,
log_hl,raw,2025-03,20,27159,0.5974881725110044,0.5960150005132206,False,,,
log_hl,raw,2025-04,20,28516,0.6029758889630463,0.5919772345728374,False,,,
log_hl,raw,2025-05,20,29680,0.43881691192172306,0.4259439003522733,False,,,
log_hl,raw,2025-06,20,19358,0.3694526611086853,0.36606696188446397,False,,,
log_hl,raw,2019-12,60,4566,0.30033314616403295,0.31265464079675676,False,,,
log_hl,raw,2020-01,60,27063,0.4008375314417637,0.3964895769825177,False,,,
log_hl,raw,2020-02,60,25308,0.674921884415617,0.685832452506658,False,,,
log_hl,raw,2020-03,60,22689,0.44067234338716627,0.44331192804035274,False,,,
log_hl,raw,2020-04,60,26730,0.36842100218556284,0.37563162577913295,False,,,
log_hl,raw,2020-05,60,26581,0.37706102828565374,0.3894217244112371,False,,,
log_hl,raw,2020-06,60,25608,0.40910163046506004,0.41822765909191356,False,,,
log_hl,raw,2020-07,60,29004,0.4548213416329039,0.4740754090233069,False,,,
log_hl,raw,2020-08,60,26775,0.41850051546388206,0.4267657691358963,False,,,
log_hl,raw,2020-09,60,25924,0.5203157310733738,0.5292293387635489,False,,,
log_hl,raw,2020-10,60,26903,0.39021698961648943,0.40416105704879346,False,,,
log_hl,raw,2020-11,60,26194,0.4755229756285381,0.48500328618233374,False,,,
log_hl,raw,2020-12,60,25827,0.43422724573981386,0.4457413609679388,False,,,
log_hl,raw,2021-01,60,25306,0.44475942526354767,0.46984607444278964,False,,,
log_hl,raw,2021-02,60,25244,0.5490009896069552,0.5616783501255308,False,,,
log_hl,raw,2021-03,60,27765,0.5219775247532036,0.5317366825967651,False,,,
log_hl,raw,2021-04,60,27498,0.42539644411469885,0.44314740438368033,False,,,
log_hl,raw,2021-05,60,26479,0.46763672643225573,0.47593125067658115,False,,,
log_hl,raw,2021-06,60,25891,0.38437628971843424,0.3877231850465721,False,,,
log_hl,raw,2021-07,60,28678,0.4633460360557351,0.4718844543228012,False,,,
log_hl,raw,2021-08,60,28842,0.4658047637090951,0.4650200201940773,False,,,
log_hl,raw,2021-09,60,26776,0.48613369805745377,0.4874684595484228,False,,,
log_hl,raw,2021-10,60,27609,0.40183129080172814,0.4064625767621279,False,,,
log_hl,raw,2021-11,60,28560,0.500437407054816,0.4992855475746159,False,,,
log_hl,raw,2021-12,60,27416,0.4752927210168851,0.4770400566123828,False,,,
log_hl,raw,2022-01,60,27480,0.5467801085092466,0.5507532689366782,False,,,
log_hl,raw,2022-02,60,26099,0.4042034785145131,0.40085016357870523,False,,,
log_hl,raw,2022-03,60,28780,0.4129295547710374,0.4109442174082475,False,,,
log_hl,raw,2022-04,60,26400,0.4505273319479968,0.46375161165724293,False,,,
log_hl,raw,2022-05,60,28739,0.460893929587495,0.4588898285079258,False,,,
log_hl,raw,2022-06,60,27707,0.3839610982309369,0.3818371130066207,False,,,
log_hl,raw,2022-07,60,27358,0.37376960409901605,0.37894107376788927,False,,,
log_hl,raw,2022-08,60,30238,0.41565364565735446,0.41183240934012344,False,,,
log_hl,raw,2022-09,60,27269,0.38521529914975206,0.3844726766895561,False,,,
log_hl,raw,2022-10,60,27720,0.3499309105721484,0.36308577147114895,False,,,
log_hl,raw,2022-11,60,27867,0.3733181864935223,0.37362984478661,False,,,
log_hl,raw,2022-12,60,26427,0.3859799935814868,0.39651484402973924,False,,,
log_hl,raw,2023-01,60,27480,0.39678685532248015,0.4005711192499014,False,,,
log_hl,raw,2023-02,60,26160,0.46190377815574807,0.4731921547387575,False,,,
log_hl,raw,2023-03,60,28841,0.5040056167446562,0.4955127315227924,False,,,
log_hl,raw,2023-04,60,25638,0.44438108964163014,0.46972023807246094,False,,,
log_hl,raw,2023-05,60,30120,0.4623018438628505,0.46645724762932506,False,,,
log_hl,raw,2023-06,60,27536,0.488706333427523,0.4892679140823801,False,,,
log_hl,raw,2023-07,60,27191,0.4593183806764946,0.47018983450608753,False,,,
log_hl,raw,2023-08,60,30345,0.4556661358289639,0.46341041490560503,False,,,
log_hl,raw,2023-09,60,26087,0.4700056792094172,0.46961358815583754,False,,,
log_hl,raw,2023-10,60,28965,0.47673886992248443,0.4864762263768209,False,,,
log_hl,raw,2023-11,60,28560,0.45918385179661514,0.46757298699274646,False,,,
log_hl,raw,2023-12,60,24897,0.47376775558057665,0.47618145005001067,False,,,
log_hl,raw,2024-01,60,28800,0.4687050162335326,0.4726135308637627,False,,,
log_hl,raw,2024-02,60,27438,0.466107571691016,0.4975818871067426,False,,,
log_hl,raw,2024-03,60,25327,0.4690139702943895,0.47698143959093436,False,,,
log_hl,raw,2024-04,60,29015,0.4356826286032063,0.45164465524454595,False,,,
log_hl,raw,2024-05,60,30120,0.45583710338991035,0.4748332844172558,False,,,
log_hl,raw,2024-06,60,24479,0.45471446207814353,0.4596034746464825,False,,,
log_hl,raw,2024-07,60,29741,0.5116461258871351,0.5307077299185107,False,,,
log_hl,raw,2024-08,60,28910,0.5424280326911718,0.5569569948479103,False,,,
log_hl,raw,2024-09,60,25965,0.42178870008476005,0.4226651101685985,False,,,
log_hl,raw,2024-10,60,30321,0.41140079507659527,0.4180811886638505,False,,,
log_hl,raw,2024-11,60,27179,0.42568281878798997,0.4351394454256772,False,,,
log_hl,raw,2024-12,60,27480,0.5408723971289713,0.5490370334924816,False,,,
log_hl,raw,2025-01,60,28251,0.45179565553431184,0.457330513782002,False,,,
log_hl,raw,2025-02,60,26160,0.4477889157871371,0.4419299187991546,False,,,
log_hl,raw,2025-03,60,26279,0.5003009947283751,0.5015082731164715,False,,,
log_hl,raw,2025-04,60,27628,0.5232690585055374,0.5151083643718762,False,,,
log_hl,raw,2025-05,60,28800,0.32268274585889234,0.3174599833266916,False,,,
log_hl,raw,2025-06,60,18381,0.2775347829555281,0.2758320512564528,False,,,
log_hl,adjusted,2019-12,1,7406,0.4216015046728936,0.42238955438232434,False,50.0,0.27629338025865985,0.46140307586317847
log_hl,adjusted,2020-01,1,29704,0.6495837690329095,0.6464924961663686,False,50.0,0.5609556398669022,0.6900703424416352
log_hl,adjusted,2020-02,1,27039,0.7672652656776069,0.7659960613600308,False,50.0,0.6475336026306509,0.7911066470623778
log_hl,adjusted,2020-03,1,26015,0.6387758045772655,0.636783931952786,False,50.0,0.5713411114311838,0.6834791986426182
log_hl,adjusted,2020-04,1,28612,0.5317024398385793,0.5303422448555548,False,50.0,0.4832507904010497,0.5585243652295215
log_hl,adjusted,2020-05,1,28400,0.46591534957897973,0.46528572004081714,False,50.0,0.42707061206712693,0.48721703947593
log_hl,adjusted,2020-06,1,28718,0.5302749205485214,0.530058277593409,False,50.0,0.46569835707273843,0.5721618756225605
log_hl,adjusted,2020-07,1,31117,0.4890682984128715,0.48389869816476877,False,50.0,0.4487441938128972,0.522914620520902
