group_type,group,lag,n_pairs,rho,beta,insufficient_sample
segment,02:00-03:00,16,84059,0.00968487848717447,0.009715062385429109,False
segment,03:00-08:30,16,462670,0.005951758584626729,0.006027391892159286,False
segment,08:30-09:30,16,84502,-0.0073469096037031304,-0.007437961401110884,False
segment,09:30-16:02,16,537320,-0.0004192435947805177,-0.00042915449436792995,False
segment,16:02-20:00,16,207785,-0.0014810812745027458,-0.0011377820475441992,False
segment,20:00-24:00,16,331917,-0.005804280211758422,-0.005738909835263443,False
segment,00:00-02:00,17,166753,-0.008554067155233495,-0.008892761423889492,False
segment,02:00-03:00,17,84035,0.001666374510658897,0.0016744758794341172,False
segment,03:00-08:30,17,462559,-0.004252740893543258,-0.004308480546731767,False
segment,08:30-09:30,17,84493,-0.0012430185655386784,-0.001259063070277426,False
segment,09:30-16:02,17,537295,-0.0010207764151158741,-0.001045862150786146,False
segment,16:02-20:00,17,205973,0.006965760747658054,0.005308596879819481,False
segment,20:00-24:00,17,331800,0.005194802644439924,0.005136347226294265,False
segment,00:00-02:00,18,166686,0.02723220344516809,0.02833254969997152,False
segment,02:00-03:00,18,84011,0.013366739971937169,0.013444843195427842,False
segment,03:00-08:30,18,462453,-0.0055523033850070555,-0.005633852454142953,False
segment,08:30-09:30,18,84484,0.009818277257925043,0.009924598801696553,False
segment,09:30-16:02,18,537270,0.0016183411633383326,0.0016589518302291535,False
segment,16:02-20:00,18,204164,-0.005717038667356739,-0.004355301973739071,False
segment,20:00-24:00,18,331686,-0.001766119448896816,-0.0017466579662383473,False
segment,00:00-02:00,19,166621,-0.008584628551669924,-0.008960181218576216,False
segment,02:00-03:00,19,83988,-0.01357368462681499,-0.013646515760230571,False
segment,03:00-08:30,19,462351,0.0009610491252344253,0.0009756881853137414,False
segment,08:30-09:30,19,84475,0.009625308412129968,0.00973044291462348,False
segment,09:30-16:02,19,537245,0.0033320839134610954,0.003418485816209965,False
segment,16:02-20:00,19,202362,-0.0031178404377241857,-0.0023587545269112336,False
segment,20:00-24:00,19,331578,0.016204146137779527,0.0160220126890063,False
segment,00:00-02:00,20,166560,0.011429371086261566,0.011943940727950225,False
segment,02:00-03:00,20,83964,0.011918623489293729,0.012009789071968747,False
segment,03:00-08:30,20,462252,0.004424555895975622,0.0044947896982822574,False
segment,08:30-09:30,20,84465,-0.0031986870630562694,-0.0032327557451964336,False
segment,09:30-16:02,20,537220,0.002231830889513309,0.0022906162332101214,False
segment,16:02-20:00,20,200561,0.0017612470198654796,0.0013297974993828595,False
segment,20:00-24:00,20,331470,0.009241237671225113,0.009137824246357482,False
volume_decile,0,1,192668,-0.13115504858949728,-0.1201473656077322,False
volume_decile,1,1,191887,-0.10068527261682879,-0.09362556691855461,False
volume_decile,2,1,190474,-0.16777990078056773,-0.15163734230659925,False
volume_decile,3,1,190641,-0.1445770114589616,-0.13455998932136962,False
volume_decile,4,1,191333,-0.11466134369887568,-0.10767866653684226,False
volume_decile,5,1,189516,-0.05691722547983509,-0.054932042421793476,False
volume_decile,6,1,191222,-0.04470311461786826,-0.04337064079193047,False
volume_decile,7,1,191004,0.0054684041914769554,0.005349428404627207,False
volume_decile,8,1,191399,0.0061092933721177516,0.005986465733712639,False
volume_decile,9,1,191290,0.06150907940315376,0.06416838537811193,False
volume_decile,0,2,191477,-0.05091069961269843,-0.04342904126411721,False
volume_decile,1,2,191667,-0.041767919283294715,-0.03680164061139228,False
volume_decile,2,2,190212,-0.04351455396415833,-0.03638368144479168,False
volume_decile,3,2,190362,-0.037988943206285326,-0.032463991953370026,False
volume_decile,4,2,191052,-0.054910071188808196,-0.048849440696002215,False
volume_decile,5,2,189287,-0.040545996679329906,-0.0375783794423017,False
volume_decile,6,2,190993,-0.015759942058469027,-0.015286319354345355,False
volume_decile,7,2,190882,-0.02032555396593259,-0.019470753350701742,False
volume_decile,8,2,191348,-0.01880314205106864,-0.018109056247774976,False
volume_decile,9,2,191273,0.016180631370035798,0.017603161947103204,False
volume_decile,0,3,190388,-0.023928312466299912,-0.019997119890549683,False
volume_decile,1,3,191365,-0.02443879405623715,-0.020673405478069815,False
volume_decile,2,3,189927,-0.04863119007251781,-0.04023443232644847,False
volume_decile,3,3,190069,0.014811542570247827,0.01206934198417485,False
volume_decile,4,3,190802,-0.009799212135285984,-0.008540072460291854,False
volume_decile,5,3,189077,-0.019208411052154616,-0.017597076003273336,False
volume_decile,6,3,190825,-0.0052214970638891365,-0.00499879501319123,False
volume_decile,7,3,190783,-0.004424483739450876,-0.0042582969570085045,False
volume_decile,8,3,191302,-0.0009449341218420382,-0.0009030946425509574,False
volume_decile,9,3,191261,0.0059148899038571475,0.0065301145811860065,False
volume_decile,0,4,189373,-0.02728920801328217,-0.022255684946316818,False
volume_decile,1,4,191016,-0.0021537734444982254,-0.0018420314633097474,False
volume_decile,2,4,189587,-0.037539773527043976,-0.029702498107592432,False
volume_decile,3,4,189800,0.0011737269604058503,0.0009425663980034614,False
volume_decile,4,4,190577,-0.011866701501021547,-0.010347197630117086,False
volume_decile,5,4,188888,-0.027161527169879154,-0.024745057136547854,False
volume_decile,6,4,190703,0.0011703457946717333,0.0011172563106128244,False
volume_decile,7,4,190694,0.019483922677782203,0.01873409784585722,False
volume_decile,8,4,191272,0.009941343235105083,0.009529200279968557,False
volume_decile,9,4,191247,0.00822753775368742,0.009123308167698251,False
volume_decile,0,5,188479,-0.03077745305663956,-0.025217701210915565,False
volume_decile,1,5,190728,-0.012692315382567815,-0.010565376491499861,False
volume_decile,2,5,189306,-0.009239796001410245,-0.007272604313941602,False
volume_decile,3,5,189524,-0.0037004747457876144,-0.002951780467790613,False
volume_decile,4,5,190336,-0.040046008393680554,-0.03468513728425539,False
volume_decile,5,5,188664,-0.019993831107702763,-0.018090827367816392,False
volume_decile,6,5,190511,-0.008208293174873899,-0.007845670573784502,False
volume_decile,7,5,190589,-0.0003915827887705755,-0.0003765145026591945,False
volume_decile,8,5,191231,-0.0009170551843216888,-0.0008808901340724502,False
volume_decile,9,5,191233,0.0013401011038287752,0.001488089379008557,False
year_month,2019-12,1,7268,0.028543227658951415,0.028549436425579163,False
year_month,2020-01,1,29635,0.026279966015599635,0.026168367187186074,False
