lag,rho,beta,n_pairs,estimable,series,bartlett_se
858,0.0016716168283463573,0.003975772191441883,661441,True,r_1m,0.0007251682976789819
859,0.001669874614588119,0.003974479288206384,660078,True,r_1m,0.000725170310345773
860,0.0051284271430970625,0.012217776231144648,658715,True,r_1m,0.0007251723188138473
861,-0.006662114242782294,-0.01588130249603057,657352,True,r_1m,0.0007251912622742229
862,5.739372816429623e-05,0.00013692152260409918,655990,True,r_1m,0.0007252232291240593
863,0.001699709981896827,0.00405749471135786,654628,True,r_1m,0.000725223231496498
864,0.002277746405181664,0.00544152447170273,653266,True,r_1m,0.0007252253122236918
865,0.0011917656325182192,0.002849247309402502,651904,True,r_1m,0.0007252290488054677
866,0.00325863313523666,0.007796390282475746,650542,True,r_1m,0.0007252300717310525
867,-0.0035402742164058337,-0.008480319069226368,649180,True,r_1m,0.0007252377194279812
868,-0.0020120883455264343,-0.004823442946013907,647818,True,r_1m,0.0007252467461182752
869,-0.00200772254825653,-0.004809623847128647,646456,True,r_1m,0.0007252496618344972
870,0.0010291605824528437,0.0024176682705862288,645094,True,r_1m,0.0007252525648998512
871,0.0003070592850524864,0.0007209292166634559,643733,True,r_1m,0.000725253327706747
872,0.0019331284725530272,0.004535415247267131,642372,True,r_1m,0.0007252533956103067
873,0.0006470428910143142,0.0015181243227012679,641011,True,r_1m,0.000725256086951027
874,-0.000315437057983979,-0.0007404654181719158,639650,True,r_1m,0.0007252563884685045
875,0.003468706827641497,0.008143617278544292,638289,True,r_1m,0.0007252564601276569
876,-0.003526730689421711,-0.008280632896097345,636929,True,r_1m,0.0007252651253321059
877,-0.0007872395779357792,-0.0018485586851376182,635569,True,r_1m,0.0007252740827521759
878,-0.0023386554118016746,-0.005493692476366588,634209,True,r_1m,0.0007252745290752828
879,0.0015163583883225078,0.0035640988721647644,632849,True,r_1m,0.0007252784679003229
880,0.0010378190343769298,0.0024403258292932948,631490,True,r_1m,0.0007252801238085356
881,-0.002367164060175062,-0.005569012513803413,630131,True,r_1m,0.0007252808994751144
882,0.001026864644385552,0.0024166607778301577,628772,True,r_1m,0.0007252849348797862
883,-0.0020150815307830475,-0.0047448145064102965,627415,True,r_1m,0.0007252856942531196
884,-5.4317260987495526e-05,-0.0001280578419789503,626058,True,r_1m,0.0007252886184935823
885,-0.00038935119341699793,-0.0009187394188891033,624701,True,r_1m,0.0007252886206183071
